aqi,so2,co,pm10,no2,o3(8h),pm25,Class
72,10,6,36,47,31,72,2
71,5,5,37,47,31,71,2
68,2,6,37,47,31,68,2
62,5,6,54,47,31,62,2
48,35,5,8,48,31,17,1
48,2,5,12,48,31,15,1
48,2,5,16,48,31,43,1
48,2,6,20,48,31,34,1
52,2,6,21,48,31,52,2
48,2,2,24,48,31,36,1
60,2,5,24,48,31,60,2
59,2,6,32,48,31,59,2
64,8,6,52,48,31,64,2
50,5,6,11,50,31,9,1
50,2,2,14,50,31,19,1
50,2,5,14,50,31,32,1
50,2,6,14,50,31,20,1
50,2,6,15,50,31,35,1
50,2,7,15,50,31,25,1
50,2,5,19,50,31,38,1
55,2,5,20,50,31,55,2
50,5,5,23,50,31,45,1
54,5,5,24,50,31,54,2
62,5,3,32,50,31,62,2
68,2,5,35,50,31,68,2
64,2,6,35,50,31,64,2
67,8,3,37,50,31,67,2
76,8,5,47,50,31,76,2
51,2,3,14,51,31,17,2
51,2,7,14,51,31,30,2
51,5,6,21,51,31,37,2
51,18,2,26,51,31,51,2
72,2,6,38,51,31,72,2
52,2,5,11,52,31,11,2
52,0,6,11,52,31,14,2
52,2,5,14,52,31,26,2
52,2,6,15,52,31,25,2
52,2,5,16,52,31,29,2
52,8,2,17,52,31,21,2
52,10,7,20,52,31,32,2
52,2,3,21,52,31,32,2
52,10,5,21,52,31,39,2
52,2,6,21,52,31,31,2
53,2,5,30,52,31,53,2
75,5,6,33,52,31,75,2
56,2,3,35,52,31,56,2
61,5,7,35,52,31,61,2
81,2,6,36,52,31,81,2
68,8,5,44,52,31,68,2
53,2,7,13,53,31,42,2
53,2,5,14,53,31,32,2
53,5,5,17,53,31,46,2
53,5,7,18,53,31,36,2
58,0,7,21,53,31,58,2
77,2,6,38,53,31,77,2
63,8,3,39,53,31,63,2
65,5,5,40,53,31,65,2
82,5,7,43,53,31,82,2
113,2,6,59,54,31,113,3
55,2,6,13,55,31,21,2
55,2,3,19,55,31,39,2
55,2,6,21,55,31,45,2
55,2,6,26,55,31,53,2
56,2,5,31,55,31,56,2
60,5,6,36,55,31,60,2
88,15,6,59,55,31,88,2
89,5,6,68,55,31,89,2
56,5,7,22,56,31,36,2
56,2,3,23,56,31,36,2
61,5,9,36,56,31,61,2
86,12,7,50,56,31,86,2
87,8,7,55,56,31,87,2
57,2,7,21,57,31,44,2
57,2,8,21,57,31,33,2
57,2,6,23,57,31,45,2
57,8,7,25,57,31,43,2
58,5,9,32,58,31,54,2
79,5,8,40,59,31,79,2
69,5,6,41,59,31,69,2
60,2,3,20,60,31,29,2
60,2,8,28,60,31,59,2
83,5,9,46,60,31,83,2
61,5,6,16,61,31,24,2
81,8,7,61,61,31,81,2
62,5,5,23,62,31,48,2
63,8,7,37,63,31,58,2
80,5,5,50,63,31,80,2
64,2,7,29,64,31,49,2
64,18,6,34,64,31,59,2
83,8,10,45,64,31,83,2
67,5,9,46,64,31,67,2
69,5,11,40,65,31,69,2
83,2,9,31,66,31,83,2
67,8,7,26,67,31,45,2
70,2,10,34,70,31,53,2
99,2,14,44,76,31,99,2
94,2,16,50,82,31,94,2
32,2,1,2,2,32,5,1
32,2,1,13,2,32,20,1
32,0,1,14,2,32,17,1
32,0,1,17,2,32,29,1
32,0,1,19,2,32,27,1
65,8,1,29,2,32,65,2
32,2,1,5,3,32,11,1
32,0,1,7,3,32,11,1
32,2,1,8,3,32,8,1
32,2,1,15,3,32,19,1
42,0,1,25,3,32,42,1
32,0,5,2,5,32,14,1
32,0,1,11,5,32,15,1
32,2,3,12,5,32,30,1
32,2,1,13,5,32,7,1
32,0,1,14,5,32,10,1
32,2,1,17,5,32,29,1
32,5,2,18,5,32,19,1
32,2,1,19,5,32,14,1
32,0,1,21,5,32,19,1
32,0,1,6,7,32,2,1
32,2,1,10,7,32,7,1
32,0,1,14,7,32,24,1
32,2,1,14,7,32,20,1
32,2,1,14,7,32,15,1
32,2,1,14,7,32,11,1
32,5,1,14,7,32,10,1
32,2,1,15,7,32,13,1
32,2,1,15,7,32,20,1
32,2,1,16,7,32,14,1
32,2,1,16,7,32,16,1
32,0,1,17,7,32,19,1
32,2,1,19,7,32,31,1
34,2,2,19,7,32,34,1
32,2,1,22,7,32,26,1
39,0,2,25,7,32,39,1
32,2,1,26,7,32,32,1
32,0,0,31,7,32,29,1
65,2,2,31,7,32,65,2
32,2,1,6,8,32,10,1
32,2,2,9,8,32,12,1
32,8,3,9,8,32,18,1
32,0,3,10,8,32,24,1
32,2,3,10,8,32,19,1
32,2,1,11,8,32,12,1
32,0,1,12,8,32,11,1
32,2,2,12,8,32,13,1
32,2,2,12,8,32,16,1
32,2,1,13,8,32,12,1
32,18,2,13,8,32,15,1
32,0,2,14,8,32,15,1
32,2,1,15,8,32,17,1
32,2,2,15,8,32,12,1
32,2,1,17,8,32,22,1
32,5,1,17,8,32,11,1
32,2,1,18,8,32,21,1
32,5,1,18,8,32,28,1
32,0,2,18,8,32,20,1
32,0,1,19,8,32,23,1
32,8,2,19,8,32,7,1
41,2,3,19,8,32,41,1
33,2,1,20,8,32,33,1
37,2,1,21,8,32,37,1
33,0,2,22,8,32,33,1
35,2,2,23,8,32,35,1
35,0,1,26,8,32,35,1
38,0,2,26,8,32,38,1
41,10,1,28,8,32,41,1
35,2,2,35,8,32,24,1
46,0,1,46,8,32,34,1
32,0,2,9,10,32,17,1
32,2,2,10,10,32,13,1
32,2,2,11,10,32,19,1
32,2,1,12,10,32,15,1
32,5,1,12,10,32,9,1
36,2,1,13,10,32,36,1
32,5,1,13,10,32,13,1
32,0,1,14,10,32,10,1
32,5,1,14,10,32,15,1
32,5,2,14,10,32,18,1
32,0,5,14,10,32,20,1
32,2,1,15,10,32,21,1
32,5,1,15,10,32,20,1
34,2,2,15,10,32,34,1
32,2,2,15,10,32,15,1
32,0,1,16,10,32,20,1
32,2,1,16,10,32,27,1
32,2,1,16,10,32,23,1
32,2,2,16,10,32,32,1
32,2,1,17,10,32,28,1
32,2,2,18,10,32,15,1
32,2,1,20,10,32,22,1
32,2,2,20,10,32,24,1
32,8,2,20,10,32,19,1
32,2,1,22,10,32,28,1
57,2,2,22,10,32,57,2
51,2,2,23,10,32,51,2
33,8,1,26,10,32,33,1
47,2,2,28,10,32,47,1
32,0,1,30,10,32,19,1
63,2,3,32,10,32,63,2
32,2,1,3,12,32,8,1
32,2,3,4,12,32,27,1
32,2,1,6,12,32,13,1
32,0,1,8,12,32,11,1
32,2,1,9,12,32,16,1
32,2,3,9,12,32,9,1
32,5,0,10,12,32,22,1
32,5,1,10,12,32,8,1
32,2,1,11,12,32,9,1
32,0,2,11,12,32,7,1
32,2,1,13,12,32,26,1
32,5,2,13,12,32,25,1
32,2,1,14,12,32,18,1
32,8,1,14,12,32,16,1
32,5,1,15,12,32,11,1
32,2,1,17,12,32,25,1
32,0,2,17,12,32,19,1
32,2,2,18,12,32,23,1
32,5,1,19,12,32,27,1
32,2,2,19,12,32,27,1
32,2,2,19,12,32,28,1
32,2,1,20,12,32,17,1
32,8,1,20,12,32,26,1
36,2,1,21,12,32,36,1
33,2,1,21,12,32,33,1
32,2,2,21,12,32,32,1
32,0,1,22,12,32,16,1
32,2,1,22,12,32,31,1
38,0,2,22,12,32,38,1
35,5,2,24,12,32,35,1
32,5,1,28,12,32,32,1
32,2,2,28,12,32,30,1
56,2,1,32,12,32,56,2
41,2,2,32,12,32,41,1
37,18,2,33,12,32,37,1
57,2,1,57,12,32,52,2
32,2,3,2,13,32,10,1
32,2,2,4,13,32,15,1
32,0,2,7,13,32,21,1
32,2,2,7,13,32,9,1
32,2,2,8,13,32,5,1
32,5,2,8,13,32,17,1
32,2,1,9,13,32,25,1
32,0,1,10,13,32,12,1
32,2,1,11,13,32,20,1
32,2,2,11,13,32,19,1
32,2,2,12,13,32,18,1
32,2,3,12,13,32,30,1
32,2,1,13,13,32,27,1
32,2,2,13,13,32,26,1
32,5,2,13,13,32,19,1
32,0,1,14,13,32,9,1
35,2,1,14,13,32,35,1
32,5,1,14,13,32,14,1
32,2,3,14,13,32,11,1
32,5,1,15,13,32,29,1
32,2,1,17,13,32,27,1
32,5,2,17,13,32,30,1
32,2,1,18,13,32,30,1
32,2,2,18,13,32,23,1
32,0,1,19,13,32,5,1
33,2,2,20,13,32,33,1
32,5,2,20,13,32,18,1
32,2,1,21,13,32,26,1
42,2,2,21,13,32,42,1
39,5,1,22,13,32,39,1
32,10,2,23,13,32,21,1
51,2,2,24,13,32,51,2
32,2,2,24,13,32,31,1
54,2,2,26,13,32,54,2
37,0,1,28,13,32,37,1
32,5,2,29,13,32,31,1
32,2,1,31,13,32,32,1
58,5,2,31,13,32,58,2
38,2,1,33,13,32,38,1
65,5,2,33,13,32,65,2
32,0,1,5,15,32,11,1
32,2,2,7,15,32,14,1
32,2,3,7,15,32,19,1
32,2,1,10,15,32,27,1
32,5,1,10,15,32,27,1
32,2,2,10,15,32,11,1
32,2,2,11,15,32,26,1
32,2,3,11,15,32,14,1
32,2,5,11,15,32,27,1
32,0,2,12,15,32,16,1
32,5,5,13,15,32,24,1
32,2,2,14,15,32,23,1
32,2,3,14,15,32,31,1
32,2,1,15,15,32,17,1
32,2,2,15,15,32,13,1
35,2,1,16,15,32,35,1
32,2,2,17,15,32,19,1
32,8,2,18,15,32,17,1
32,0,1,19,15,32,23,1
32,5,1,20,15,32,27,1
32,5,2,20,15,32,31,1
44,2,2,21,15,32,44,1
47,0,3,23,15,32,47,1
35,2,2,24,15,32,35,1
46,2,3,25,15,32,46,1
43,5,1,28,15,32,43,1
51,5,2,31,15,32,51,2
82,12,1,42,15,32,82,2
32,2,2,3,17,32,7,1
32,5,1,9,17,32,10,1
32,5,2,9,17,32,23,1
32,8,1,10,17,32,18,1
32,2,2,11,17,32,12,1
32,2,5,11,17,32,23,1
32,2,1,12,17,32,14,1
32,2,2,13,17,32,16,1
32,0,2,14,17,32,23,1
35,5,3,14,17,32,35,1
32,2,2,15,17,32,11,1
32,0,1,16,17,32,18,1
32,2,1,16,17,32,21,1
32,2,2,16,17,32,15,1
32,2,3,16,17,32,13,1
32,2,2,18,17,32,21,1
32,0,1,19,17,32,22,1
32,2,2,19,17,32,11,1
32,5,2,19,17,32,19,1
35,2,2,20,17,32,35,1
32,5,2,20,17,32,24,1
32,8,2,20,17,32,28,1
39,2,1,21,17,32,39,1
47,2,3,21,17,32,47,1
44,8,1,25,17,32,44,1
66,2,2,25,17,32,66,2
57,2,3,25,17,32,57,2
36,5,2,28,17,32,36,1
34,2,3,32,17,32,34,1
38,0,1,38,17,32,32,1
49,5,2,40,17,32,49,1
66,5,5,41,17,32,66,2
32,2,3,2,18,32,15,1
32,2,2,4,18,32,15,1
32,2,1,5,18,32,8,1
32,2,2,5,18,32,9,1
32,2,2,8,18,32,11,1
32,0,2,9,18,32,9,1
32,8,1,10,18,32,18,1
32,2,1,11,18,32,15,1
32,0,2,11,18,32,10,1
32,2,2,11,18,32,25,1
32,5,1,12,18,32,17,1
32,2,2,12,18,32,24,1
32,5,2,12,18,32,16,1
32,5,2,14,18,32,23,1
32,15,2,14,18,32,13,1
32,5,2,15,18,32,27,1
37,2,3,15,18,32,37,1
39,5,5,16,18,32,39,1
32,0,1,18,18,32,23,1
32,8,1,19,18,32,29,1
32,0,2,20,18,32,19,1
32,2,0,21,18,32,26,1
36,2,3,21,18,32,36,1
45,5,2,23,18,32,45,1
32,2,3,23,18,32,25,1
56,2,3,24,18,32,56,2
63,5,3,29,18,32,63,2
54,48,3,31,18,32,54,2
58,5,3,32,18,32,58,2
36,2,2,36,18,32,30,1
37,2,5,37,18,32,29,1
32,5,3,4,20,32,20,1
32,2,2,9,20,32,16,1
32,5,1,10,20,32,16,1
32,0,2,10,20,32,10,1
32,2,2,13,20,32,19,1
32,2,2,14,20,32,22,1
32,0,3,16,20,32,26,1
32,0,2,17,20,32,14,1
45,2,3,20,20,32,45,1
34,5,1,23,20,32,34,1
37,5,1,28,20,32,37,1
54,2,2,28,20,32,54,2
70,2,6,31,20,32,70,2
52,5,3,34,20,32,52,2
35,5,5,35,20,32,34,1
39,8,3,36,20,32,39,1
40,8,2,37,20,32,40,1
56,2,3,38,20,32,56,2
73,2,2,39,20,32,73,2
75,2,2,75,20,32,39,2
32,0,2,7,22,32,4,1
32,5,2,10,22,32,11,1
32,5,1,11,22,32,13,1
32,2,2,11,22,32,13,1
32,0,3,12,22,32,16,1
32,2,3,12,22,32,7,1
32,2,2,13,22,32,23,1
32,5,2,13,22,32,25,1
32,2,3,13,22,32,17,1
32,8,3,13,22,32,15,1
32,2,1,14,22,32,18,1
32,2,1,14,22,32,20,1
32,2,2,14,22,32,17,1
32,5,2,15,22,32,18,1
32,5,2,15,22,32,17,1
32,8,3,15,22,32,17,1
35,8,1,17,22,32,35,1
32,2,2,17,22,32,17,1
32,2,2,17,22,32,20,1
32,5,2,17,22,32,24,1
32,2,3,17,22,32,24,1
35,5,2,18,22,32,35,1
32,8,1,20,22,32,30,1
32,2,2,20,22,32,20,1
47,2,3,21,22,32,47,1
38,38,2,23,22,32,34,1
44,2,3,24,22,32,44,1
41,8,2,29,22,32,41,1
74,5,3,31,22,32,74,2
81,2,3,32,22,32,81,2
43,0,3,33,22,32,43,1
82,2,6,42,22,32,82,2
32,0,2,8,23,32,12,1
32,2,2,9,23,32,13,1
32,2,2,9,23,32,6,1
40,0,2,10,23,32,40,1
32,5,2,12,23,32,20,1
32,2,2,13,23,32,20,1
32,2,2,14,23,32,25,1
32,0,3,14,23,32,26,1
32,2,2,15,23,32,25,1
32,2,5,15,23,32,7,1
32,2,1,17,23,32,29,1
32,0,2,17,23,32,28,1
32,8,3,17,23,32,24,1
32,8,1,18,23,32,26,1
32,2,2,19,23,32,32,1
32,5,2,19,23,32,31,1
32,5,2,20,23,32,30,1
32,2,2,22,23,32,31,1
32,5,2,22,23,32,30,1
68,2,6,25,23,32,68,2
45,2,2,26,23,32,45,1
57,2,2,29,23,32,57,2
64,2,2,33,23,32,64,2
59,5,3,36,23,32,59,2
73,12,2,39,23,32,73,2
32,2,2,4,25,32,15,1
32,2,1,8,25,32,6,1
32,5,2,10,25,32,13,1
32,2,2,11,25,32,22,1
32,0,2,13,25,32,18,1
32,2,2,13,25,32,31,1
32,0,2,14,25,32,13,1
32,2,5,14,25,32,28,1
32,2,2,15,25,32,13,1
32,12,2,15,25,32,32,1
32,2,3,16,25,32,22,1
32,2,3,16,25,32,27,1
35,2,5,18,25,32,35,1
40,12,2,19,25,32,40,1
32,2,3,19,25,32,32,1
32,2,2,20,25,32,26,1
32,2,2,21,25,32,19,1
45,5,5,21,25,32,45,1
32,0,2,22,25,32,26,1
32,2,2,22,25,32,27,1
41,2,2,24,25,32,41,1
54,2,3,25,25,32,54,2
33,5,2,27,25,32,33,1
42,2,3,28,25,32,42,1
55,2,3,31,25,32,55,2
58,2,5,34,25,32,58,2
72,2,3,35,25,32,72,2
77,2,5,38,25,32,77,2
74,2,5,43,25,32,74,2
32,2,1,8,27,32,12,1
32,2,3,8,27,32,16,1
32,2,3,12,27,32,25,1
32,5,2,13,27,32,29,1
32,2,5,13,27,32,18,1
32,5,2,14,27,32,18,1
32,5,2,14,27,32,26,1
32,2,5,14,27,32,26,1
32,8,2,17,27,32,17,1
35,0,3,17,27,32,35,1
32,2,2,18,27,32,19,1
36,5,2,18,27,32,36,1
39,2,3,19,27,32,39,1
36,0,3,21,27,32,36,1
32,0,2,22,27,32,23,1
46,5,2,23,27,32,46,1
47,2,6,24,27,32,47,1
60,5,3,25,27,32,60,2
60,2,2,26,27,32,60,2
43,10,2,28,27,32,43,1
38,5,3,30,27,32,38,1
60,2,3,34,27,32,60,2
37,2,3,35,27,32,37,1
46,5,2,37,27,32,46,1
86,5,3,86,27,32,42,2
32,2,2,6,28,32,10,1
32,2,5,7,28,32,16,1
32,2,3,9,28,32,16,1
32,2,2,13,28,32,26,1
32,2,3,13,28,32,8,1
32,2,5,13,28,32,15,1
32,8,2,14,28,32,19,1
32,8,6,15,28,32,20,1
32,2,3,16,28,32,23,1
32,5,2,17,28,32,23,1
55,55,2,18,28,32,45,2
33,2,3,18,28,32,33,1
32,5,3,18,28,32,15,1
32,2,2,19,28,32,25,1
32,5,2,19,28,32,23,1
32,2,3,19,28,32,30,1
40,0,5,21,28,32,40,1
32,2,2,22,28,32,26,1
32,2,3,22,28,32,26,1
38,2,5,22,28,32,38,1
32,2,2,24,28,32,29,1
88,5,5,57,28,32,88,2
32,2,2,13,30,32,21,1
32,2,2,15,30,32,17,1
32,2,2,15,30,32,19,1
32,2,2,19,30,32,19,1
38,5,3,19,30,32,38,1
33,12,3,19,30,32,33,1
49,2,5,20,30,32,49,1
51,5,2,21,30,32,51,2
49,2,2,22,30,32,49,1
44,5,2,23,30,32,44,1
51,0,3,33,30,32,51,2
61,8,5,38,30,32,61,2
52,5,2,39,30,32,52,2
59,8,3,52,30,32,59,2
32,0,2,11,32,32,18,1
32,2,2,13,32,32,12,1
32,2,3,14,32,32,11,1
32,2,3,15,32,32,32,1
32,2,2,16,32,32,20,1
32,5,2,16,32,32,22,1
32,2,2,17,32,32,31,1
32,5,3,18,32,32,26,1
33,8,1,19,32,32,33,1
35,5,2,20,32,32,35,1
37,5,3,21,32,32,37,1
39,2,3,23,32,32,39,1
40,5,2,25,32,32,40,1
54,5,3,28,32,32,54,2
68,2,3,30,32,32,68,2
54,2,5,32,32,32,54,2
57,10,3,35,32,32,57,2
67,2,5,39,32,32,67,2
33,0,5,5,33,32,15,1
33,5,8,14,33,32,21,1
33,15,3,16,33,32,20,1
33,2,3,17,33,32,24,1
33,2,3,17,33,32,31,1
33,0,5,18,33,32,31,1
44,5,3,20,33,32,44,1
33,2,5,23,33,32,29,1
33,10,3,25,33,32,29,1
66,5,3,26,33,32,66,2
63,2,3,28,33,32,63,2
57,5,3,30,33,32,57,2
50,5,3,33,33,32,50,1
49,2,6,36,33,32,49,1
58,5,5,40,33,32,58,2
55,8,2,41,33,32,55,2
57,5,3,46,33,32,57,2
85,10,5,60,33,32,85,2
117,2,5,65,33,32,117,3
35,2,2,11,35,32,8,1
35,0,2,14,35,32,21,1
35,5,2,16,35,32,18,1
48,5,3,17,35,32,48,1
35,5,3,19,35,32,29,1
35,10,3,20,35,32,27,1
61,2,2,37,35,32,61,2
72,8,3,37,35,32,72,2
52,8,3,37,35,32,52,2
48,2,2,42,35,32,48,1
60,8,3,43,35,32,60,2
37,0,2,10,37,32,15,1
37,2,5,10,37,32,25,1
37,2,5,12,37,32,23,1
37,2,5,13,37,32,30,1
37,2,2,14,37,32,22,1
37,2,3,14,37,32,31,1
37,8,3,15,37,32,14,1
37,2,3,17,37,32,21,1
37,5,2,18,37,32,21,1
37,5,5,20,37,32,26,1
41,8,6,20,37,32,41,1
37,2,3,23,37,32,34,1
37,2,5,25,37,32,35,1
54,2,2,27,37,32,54,2
64,10,3,27,37,32,64,2
56,2,3,31,37,32,56,2
66,2,5,32,37,32,66,2
38,2,3,6,38,32,13,1
38,2,3,7,38,32,9,1
38,2,5,9,38,32,29,1
38,2,3,10,38,32,32,1
38,0,3,13,38,32,19,1
38,0,5,14,38,32,19,1
40,40,5,14,38,32,37,1
38,20,2,15,38,32,28,1
43,2,3,32,38,32,43,1
38,5,3,34,38,32,38,1
56,2,5,34,38,32,56,2
73,5,5,34,38,32,73,2
62,2,6,35,38,32,62,2
73,8,3,36,38,32,73,2
77,5,5,39,38,32,77,2
64,12,3,44,38,32,64,2
76,10,5,44,38,32,76,2
102,8,5,49,38,32,102,3
60,12,5,49,38,32,60,2
40,0,3,4,40,32,22,1
40,8,3,7,40,32,19,1
40,8,3,12,40,32,11,1
40,2,3,14,40,32,25,1
40,5,3,18,40,32,29,1
40,2,6,19,40,32,32,1
40,2,3,20,40,32,39,1
40,2,6,24,40,32,39,1
42,2,5,10,42,32,24,1
42,2,3,12,42,32,13,1
42,2,2,13,42,32,22,1
47,0,5,16,42,32,47,1
42,2,2,19,42,32,36,1
52,5,2,22,42,32,52,2
50,40,2,22,42,32,50,1
52,2,6,29,42,32,52,2
64,2,3,30,42,32,64,2
51,2,6,31,42,32,51,2
46,12,3,46,42,32,43,1
43,0,2,10,43,32,20,1
43,2,3,11,43,32,16,1
43,2,5,13,43,32,21,1
43,2,3,16,43,32,22,1
43,2,2,18,43,32,21,1
43,2,5,21,43,32,42,1
46,2,5,23,43,32,46,1
43,8,2,26,43,32,29,1
49,2,5,30,43,32,49,1
75,5,5,37,43,32,75,2
59,2,3,38,43,32,59,2
77,5,5,38,43,32,77,2
96,2,6,49,43,32,96,2
45,2,2,4,45,32,4,1
45,2,3,6,45,32,9,1
45,8,2,13,45,32,21,1
45,5,5,18,45,32,32,1
48,5,3,29,45,32,48,1
62,2,6,31,45,32,62,2
66,8,6,31,45,32,66,2
47,2,5,5,47,32,11,1
47,2,2,11,47,32,13,1
47,0,3,11,47,32,28,1
47,2,3,15,47,32,27,1
47,0,7,19,47,32,26,1
47,2,3,21,47,32,29,1
54,2,6,25,47,32,54,2
77,5,5,36,47,32,77,2
75,2,6,49,47,32,75,2
48,2,2,16,48,32,27,1
48,8,3,22,48,32,37,1
48,8,5,25,48,32,38,1
65,2,5,35,48,32,65,2
71,2,5,46,48,32,71,2
50,2,7,21,50,32,40,1
54,2,5,38,50,32,54,2
51,10,6,12,51,32,15,2
51,5,6,23,51,32,34,2
53,5,5,26,51,32,53,2
58,2,6,28,51,32,58,2
54,2,7,29,51,32,54,2
51,2,3,36,51,32,47,2
72,5,7,43,51,32,72,2
52,2,6,10,52,32,25,2
52,2,2,14,52,32,18,2
52,2,3,16,52,32,31,2
52,2,6,17,52,32,35,2
52,2,5,20,52,32,28,2
52,2,8,20,52,32,44,2
52,2,5,27,52,32,51,2
52,8,6,27,52,32,43,2
53,2,3,29,52,32,53,2
52,2,6,30,52,32,46,2
52,0,5,31,52,32,36,2
61,2,8,36,52,32,61,2
60,8,5,40,52,32,60,2
52,5,3,42,52,32,52,2
103,2,5,54,52,32,103,3
53,8,6,17,53,32,31,2
77,28,6,45,53,32,77,2
54,5,6,7,54,32,17,2
54,20,5,15,54,32,45,2
54,12,3,16,54,32,19,2
54,10,5,23,54,32,44,2
55,8,3,22,55,32,39,2
57,5,7,29,55,32,57,2
55,8,6,31,55,32,55,2
70,2,6,40,55,32,70,2
71,10,6,43,55,32,71,2
57,0,7,21,57,32,41,2
57,2,7,23,57,32,40,2
57,5,6,25,57,32,49,2
57,8,6,26,57,32,52,2
57,5,5,35,57,32,53,2
57,2,5,36,57,32,56,2
60,10,5,24,60,32,39,2
61,2,7,29,61,32,55,2
83,5,7,47,61,32,83,2
67,5,7,42,62,32,67,2
63,15,9,30,63,32,60,2
64,2,9,18,64,32,33,2
65,18,7,22,65,32,40,2
78,8,8,37,66,32,78,2
69,10,9,38,67,32,69,2
74,2,11,43,67,32,74,2
70,5,9,41,68,32,70,2
75,5,14,40,70,32,75,2
79,2,18,46,79,32,76,2
33,2,1,7,0,33,6,1
33,2,1,9,2,33,19,1
33,2,1,13,2,33,17,1
33,0,1,14,2,33,18,1
33,2,1,16,2,33,24,1
33,0,1,6,3,33,12,1
33,0,1,6,3,33,13,1
33,5,1,13,3,33,9,1
33,2,0,26,3,33,31,1
33,2,1,5,5,33,,1
33,0,1,7,5,33,2,1
33,0,1,13,5,33,7,1
33,0,1,16,5,33,22,1
33,0,1,33,5,33,27,1
36,2,2,36,5,33,22,1
41,2,1,41,5,33,14,1
33,0,1,3,7,33,2,1
33,2,2,6,7,33,8,1
33,2,1,7,7,33,6,1
33,0,1,10,7,33,9,1
33,2,1,10,7,33,7,1
33,0,1,11,7,33,14,1
33,2,3,11,7,33,8,1
33,0,1,12,7,33,25,1
33,2,1,13,7,33,12,1
33,2,1,15,7,33,15,1
33,0,2,17,7,33,14,1
33,2,1,18,7,33,20,1
33,2,1,18,7,33,25,1
33,2,1,19,7,33,28,1
33,2,1,21,7,33,18,1
36,2,1,24,7,33,36,1
33,2,1,9,8,33,16,1
33,2,2,9,8,33,21,1
33,8,2,9,8,33,21,1
33,2,1,11,8,33,21,1
33,2,1,11,8,33,21,1
33,2,1,12,8,33,10,1
33,2,1,12,8,33,16,1
33,2,1,13,8,33,24,1
33,2,3,13,8,33,5,1
33,0,0,14,8,33,,1
33,2,1,15,8,33,25,1
33,2,1,15,8,33,21,1
33,0,2,15,8,33,21,1
33,2,2,15,8,33,31,1
33,2,1,18,8,33,17,1
33,2,1,19,8,33,13,1
33,2,1,21,8,33,32,1
33,0,2,22,8,33,28,1
40,5,3,22,8,33,40,1
33,0,1,23,8,33,28,1
33,0,3,25,8,33,24,1
38,2,1,38,8,33,20,1
81,2,2,51,8,33,81,2
33,2,1,5,10,33,10,1
33,0,3,5,10,33,13,1
33,0,1,10,10,33,16,1
33,5,1,10,10,33,7,1
33,0,3,10,10,33,17,1
33,5,1,11,10,33,9,1
33,0,2,12,10,33,29,1
33,2,2,12,10,33,18,1
33,0,1,13,10,33,17,1
33,10,1,13,10,33,16,1
33,0,2,14,10,33,16,1
33,2,2,14,10,33,15,1
33,0,1,15,10,33,26,1
33,2,2,15,10,33,21,1
40,0,1,16,10,33,40,1
33,12,1,16,10,33,32,1
33,2,1,17,10,33,26,1
33,2,1,17,10,33,23,1
33,2,1,17,10,33,26,1
33,5,1,17,10,33,22,1
33,5,0,18,10,33,24,1
33,2,1,18,10,33,30,1
33,2,1,18,10,33,22,1
33,5,1,18,10,33,19,1
33,0,0,19,10,33,29,1
33,5,1,19,10,33,12,1
33,2,1,20,10,33,24,1
33,2,1,21,10,33,33,1
48,0,2,21,10,33,48,1
38,0,2,21,10,33,38,1
33,0,1,25,10,33,28,1
33,0,1,26,10,33,28,1
52,2,1,26,10,33,52,2
68,8,1,28,10,33,68,2
33,2,1,5,12,33,3,1
33,0,1,6,12,33,7,1
33,2,1,8,12,33,17,1
33,2,2,9,12,33,18,1
33,5,1,10,12,33,23,1
33,5,1,10,12,33,14,1
33,5,1,11,12,33,19,1
33,0,5,11,12,33,21,1
33,2,1,14,12,33,28,1
33,2,2,14,12,33,21,1
33,0,1,15,12,33,29,1
33,2,2,15,12,33,22,1
33,2,2,15,12,33,15,1
33,2,2,16,12,33,31,1
33,5,1,17,12,33,26,1
33,2,2,17,12,33,18,1
33,5,2,17,12,33,15,1
33,5,1,19,12,33,24,1
33,2,2,20,12,33,28,1
49,0,2,21,12,33,49,1
33,2,1,23,12,33,28,1
42,5,0,25,12,33,42,1
62,2,5,26,12,33,62,2
35,8,1,27,12,33,35,1
42,2,3,28,12,33,42,1
58,0,3,31,12,33,58,2
33,2,1,6,13,33,16,1
33,2,2,6,13,33,13,1
33,2,2,6,13,33,14,1
33,0,2,10,13,33,14,1
33,2,3,11,13,33,13,1
33,10,1,12,13,33,14,1
33,5,1,13,13,33,14,1
33,2,2,13,13,33,24,1
33,2,2,13,13,33,19,1
33,2,2,14,13,33,23,1
33,2,3,15,13,33,26,1
33,2,1,16,13,33,18,1
33,5,1,16,13,33,18,1
33,2,2,16,13,33,28,1
33,2,1,19,13,33,17,1
33,2,2,20,13,33,17,1
33,0,0,21,13,33,21,1
33,2,1,23,13,33,18,1
33,2,1,24,13,33,19,1
41,2,2,24,13,33,41,1
36,2,2,24,13,33,36,1
33,2,2,25,13,33,30,1
43,2,5,27,13,33,43,1
52,5,3,28,13,33,52,2
41,2,2,41,13,33,29,1
33,10,1,5,15,33,10,1
33,2,1,7,15,33,8,1
33,10,2,9,15,33,14,1
33,2,1,10,15,33,14,1
33,5,2,10,15,33,17,1
33,5,2,11,15,33,10,1
35,2,1,12,15,33,35,1
33,2,3,12,15,33,17,1
33,0,1,13,15,33,3,1
33,2,2,13,15,33,24,1
